file_path	sub_id	cohort	gait_event	side	ref	pred
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	2934.0	2934.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	3037.0	3038.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	3141.0	3141.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	3243.0	3244.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	3347.0	3347.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	3448.0	3448.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	3552.0	3552.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	3651.0	3652.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	3757.0	3758.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	3862.0	3862.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	3963.0	3963.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	4065.0	4065.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	4166.0	4166.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	4264.0	4264.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00065188-00071799.npy	sub-1011	HA	IC	L	4365.0	4365.0
